Index,time taken,MCES distance,status
631,26,0.024471283,4
632,10,0.183359623,2
633,17.5,0.021794558,4
634,38.5,0.010316133,4
635,27.5,0.0101192,4
636,13.5,0.019872427,4
637,31.5,0.020874739,4
638,12,0.01672554,4
639,19,0.030627251,4
640,17,0.012268305,4
641,1,0.144150257,1
642,54,0.073607683,4
643,7,0.172580719,1
644,15,0.119379044,4
645,17,0.021154642,4
646,30,0.009012222,4
647,15,0.014504194,4
648,4,0.035965919,1
649,46,0.044000864,4
650,22,0.010087967,4
651,23,0.020032883,4
652,29.5,0.019604683,4
653,68,0.090650558,4
654,31,0.00850296,4
655,34,0.018822193,4
656,68,0.031697035,4
657,11,0.009300709,4
658,43,0.019001722,4
659,10,0.252954245,2
660,24,0.038735151,4
661,23,0.0127666,4
662,29,0.019526243,4
663,60,0.029587984,4
664,16,0.011400938,4
665,20,0.016920567,4
666,7,0.217862606,1
667,34,0.095233917,4
668,15,0.008851528,4
669,13.5,0.008777857,4
670,48.5,0.019428968,4
671,17,0.001571655,4
672,13,0.008081198,4
673,17,0.010186911,4
674,14,0.00173378,4
675,15,0,4
676,5,0.249298573,1
677,26,0.019932747,4
678,10,0.17389679,2
679,45.5,0.064976931,4
680,11,0.002439022,4
681,67,0.048443317,4
682,10,0.509564877,2
683,33,0.042243958,4
684,14,0.011225224,4
685,38,0.08706975,4
686,69,0.049984455,4
687,10,0.134423256,2
688,6,0.049654484,1
689,12,0.085030079,4
690,133,0.108700037,4
691,18,0.01919198,4
692,13.5,0.012665272,4
693,31,0.01950407,4
694,21,0.008116961,4
695,29,0.013968706,4
696,30,0.00916481,4
697,31,0.018839598,4
698,15,0.00933814,4
699,25,0.000385761,4
700,29,0.011518478,4
701,10,0.521888018,2
702,16,0.057441711,4
703,40,0.017854691,4
704,23.5,0.032646894,4
705,12,0.00327158,4
706,19,0.01818037,4
707,11,0.006752968,4
708,41.5,0.051753044,4
709,11,0.007753849,4
710,60.5,0.090950251,4
711,66.5,0.052528858,4
712,31,0.007850409,4
713,10,0.923489571,2
714,55,0.14786458,4
715,31.5,0.060979843,4
716,5,0.143802404,1
717,11,0.006478071,4
718,46,0.054233789,4
719,16,0.00229454,4
720,121,0.059892178,4
721,20,0.010756731,4
722,100,0.029328108,4
723,26,0.069587469,4
724,25,0.016328812,4
725,60,0.033073425,4
726,16,0.014202118,4
727,33,0.087556839,4
728,31,0.038886309,4
729,35,0.028075695,4
730,45.5,0.040881872,4
731,24,0.017309666,4
732,132,0.115930557,4
733,60,0.029652119,4
734,28,0.018357754,4
735,16,0.019545555,4
736,60,0.064719439,4
737,21.5,0.008002043,4
738,38,0.012441158,4
739,16,0.018220425,4
740,17,0.007802963,4
741,15,0.027033567,4
742,25,0.020800829,4
743,4,0.462594271,1
744,31,0.017317295,4
745,18,0.011311054,4
746,74,0.020267963,4
747,13,0.009333849,4
748,27,0.01058197,4
749,10,1.224486351,1
750,4,0.409748316,1
751,51.5,0.0652349,4
752,16,0.030729771,4
753,51,0.058518171,4
754,37.5,0.010299206,4
755,53,0.030554056,4
756,101,0.080001593,4
757,20,0.030079365,4
758,24,0.013422012,4
759,22,0.020371675,4
760,11,0.013804436,4
761,70,0.030973911,4
762,72,0.015511513,4
763,31,0.06594491,4
764,14,0.00608778,4
765,33,0.009441614,4
766,23,0.004824162,4
767,85.5,0.149912119,4
768,56.5,0.041768789,4
769,25,0.045805931,4
770,10.5,0.009267569,4
771,18,0.048542976,4
772,18.5,0.022534609,4
773,10,0.295449018,1
774,20.5,0.093384266,4
775,17.5,0.031251431,4
